[SYS: 2025-02-15 22:24:39][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=148804736
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:40][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:41][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:42][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
[SYS: 2025-02-15 22:24:43][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1742807296
