[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-23 14:04:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
