[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1019219856
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1021095456
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
[SYS: 2025-02-16 01:32:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1069390464
