[SYS: 2025-02-16 00:56:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=673528960
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:04][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:05][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
[SYS: 2025-02-16 00:56:06][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1104505120
