[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108787328
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108957024
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108763664
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2110271312
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:33][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109266560
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108950928
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109266560
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108853744
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109131328
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108950928
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108763664
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108953200
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108852720
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108853744
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109131328
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108911904
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108957024
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109131328
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108852720
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108911904
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108950928
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108852720
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108957024
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108853744
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109131328
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=0
[SYS: 2024-11-23 14:26:34][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108911904
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108911904
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108950928
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108906704
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108853744
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108950928
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108911904
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109131328
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108852720
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578992
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108763664
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108906704
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109267360
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2110271312
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108957024
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109266560
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2110271312
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109266560
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108971840
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108853744
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108852720
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109131328
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109562016
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108911904
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108848480
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108853744
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108319392
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108851664
[SYS: 2024-11-23 14:26:35][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2109578752
[SYS: 2024-11-23 14:26:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108517776
[SYS: 2024-11-23 14:26:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108924080
[SYS: 2024-11-23 14:26:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108905584
[SYS: 2024-11-23 14:26:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108852720
[SYS: 2024-11-23 14:26:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-697236272
[SYS: 2024-11-23 14:26:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2108949824
