[SYS: 2024-11-26 12:53:22][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:23][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:24][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:25][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:26][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:27][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:27][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:27][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:27][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
[SYS: 2024-11-26 12:53:27][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1
